┏[ ajit from  MSI][ 0.007s][ RAM: 5/8GB][ Tuesday at 4:09:06 PM] [ base 3.10.13 ]
┖[~/bandwidth-1.13.2]
└─Δ ./bandwidth64
This is bandwidth version 1.13.2
Copyright (C) 2005-2023 by Zack T Smith.

This software is covered by the GNU Public License.
It is provided AS-IS, use at your own risk.
See the file COPYING for more information.

CPU family: X86
CPU make: GenuineIntelJV
CPU model: Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz
CPU register size: 64
CPU vector sizes: 128 256
CPU instruction set: x86_64
CPU features: adx aes avx avx2 bmi1 bmi2 cmov f16c htt hyper intel64 lzcnt mmx nx popcnt prefetchw rdseed sse sse2 sse3 sse41 sse42 ssse3
CPU core 0 caches: L1 instruction 32kB, L1 data 32kB, L2 256kB, L3 12MB
Sequential read (64-bit), size = 21 MB, loops = 4584, 19186.8 MB/s
Sequential read (64-bit), size = 32 MB, loops = 2944, 18802.9 MB/s
Sequential read (64-bit), size = 48 MB, loops = 1940, 18537.3 MB/s
Sequential read (64-bit), size = 64 MB, loops = 1440, 18386.1 MB/s
Sequential read (64-bit), size = 72 MB, loops = 1274, 18319.0 MB/s
Sequential read (64-bit), size = 96 MB, loops = 950, 18232.3 MB/s
Sequential read (64-bit), size = 128 MB, loops = 716, 18329.3 MB/s

Sequential read (128-bit), size = 256 B, loops = 2610954240, 127485.3 MB/s
Sequential read (128-bit), size = 512 B, loops = 1332740096, 130118.5 MB/s
Sequential read (128-bit), size = 768 B, loops = 891987800, 130577.3 MB/s
Sequential read (128-bit), size = 1024 B, loops = 668991488, 130598.9 MB/s
Sequential read (128-bit), size = 1280 B, loops = 535192680, 130613.9 MB/s
Sequential read (128-bit), size = 2 kB, loops = 332398592, 129766.2 MB/s
Sequential read (128-bit), size = 3 kB, loops = 222122502, 130142.7 MB/s
Sequential read (128-bit), size = 4 kB, loops = 167772160, 131054.2 MB/s
Sequential read (128-bit), size = 6 kB, loops = 105119343, 123149.1 MB/s
Sequential read (128-bit), size = 8 kB, loops = 79953920, 124889.9 MB/s
Sequential read (128-bit), size = 12 kB, loops = 54306670, 127224.6 MB/s
Sequential read (128-bit), size = 16 kB, loops = 40992768, 128096.1 MB/s
Sequential read (128-bit), size = 20 kB, loops = 32610216, 127383.0 MB/s
Sequential read (128-bit), size = 24 kB, loops = 27524700, 129013.6 MB/s
Sequential read (128-bit), size = 28 kB, loops = 23592240, 128936.4 MB/s
Sequential read (128-bit), size = 32 kB, loops = 20021248, 125078.7 MB/s
Sequential read (128-bit), size = 34 kB, loops = 13137840, 87158.5 MB/s
Sequential read (128-bit), size = 36 kB, loops = 10150411, 71298.6 MB/s
Sequential read (128-bit), size = 40 kB, loops = 9109365, 71141.6 MB/s
Sequential read (128-bit), size = 48 kB, loops = 7667244, 71823.0 MB/s
Sequential read (128-bit), size = 64 kB, loops = 5791744, 72328.3 MB/s
Sequential read (128-bit), size = 72 kB, loops = 5111262, 71809.5 MB/s
Sequential read (128-bit), size = 80 kB, loops = 4626418, 72216.1 MB/s
Sequential read (128-bit), size = 96 kB, loops = 3844544, 72002.6 MB/s
Sequential read (128-bit), size = 128 kB, loops = 2883584, 72064.9 MB/s
Sequential read (128-bit), size = 192 kB, loops = 1900080, 71211.5 MB/s
Sequential read (128-bit), size = 256 kB, loops = 1302528, 65046.6 MB/s
Sequential read (128-bit), size = 320 kB, loops = 956592, 59747.8 MB/s
Sequential read (128-bit), size = 384 kB, loops = 730275, 54714.6 MB/s
Sequential read (128-bit), size = 480 kB, loops = 577668, 54063.6 MB/s
Sequential read (128-bit), size = 512 kB, loops = 535552, 53523.5 MB/s
Sequential read (128-bit), size = 768 kB, loops = 351230, 52602.2 MB/s
Sequential read (128-bit), size = 1 MB, loops = 265216, 52972.4 MB/s
Sequential read (128-bit), size = 1.25 MB, loops = 213089, 53226.5 MB/s
Sequential read (128-bit), size = 1.5 MB, loops = 178002, 53319.1 MB/s
Sequential read (128-bit), size = 1.75 MB, loops = 151548, 52973.4 MB/s
Sequential read (128-bit), size = 2 MB, loops = 132608, 53016.3 MB/s
Sequential read (128-bit), size = 2.25 MB, loops = 116224, 52228.3 MB/s
Sequential read (128-bit), size = 2.5 MB, loops = 105060, 52510.9 MB/s
Sequential read (128-bit), size = 2.75 MB, loops = 96534, 52999.6 MB/s
Sequential read (128-bit), size = 3 MB, loops = 66980, 40172.6 MB/s
Sequential read (128-bit), size = 3.25 MB, loops = 63271, 41091.5 MB/s
Sequential read (128-bit), size = 3.5 MB, loops = 56502, 39498.0 MB/s
Sequential read (128-bit), size = 4 MB, loops = 48128, 38494.8 MB/s
Sequential read (128-bit), size = 5 MB, loops = 28356, 28333.5 MB/s
Sequential read (128-bit), size = 6 MB, loops = 21505, 25728.4 MB/s
Sequential read (128-bit), size = 7 MB, loops = 17593, 24626.4 MB/s
Sequential read (128-bit), size = 8 MB, loops = 13696, 21896.8 MB/s
Sequential read (128-bit), size = 9 MB, loops = 11928, 21424.3 MB/s
Sequential read (128-bit), size = 10 MB, loops = 11628, 23254.8 MB/s
Sequential read (128-bit), size = 11 MB, loops = 9752, 21434.5 MB/s
Sequential read (128-bit), size = 12 MB, loops = 8316, 19940.5 MB/s
Sequential read (128-bit), size = 13 MB, loops = 7605, 19721.4 MB/s
Sequential read (128-bit), size = 14 MB, loops = 7308, 20456.3 MB/s
Sequential read (128-bit), size = 15 MB, loops = 6630, 19840.1 MB/s
Sequential read (128-bit), size = 16 MB, loops = 5888, 18831.6 MB/s
Sequential read (128-bit), size = 20 MB, loops = 4550, 18135.9 MB/s
Sequential read (128-bit), size = 21 MB, loops = 4512, 18928.7 MB/s
Sequential read (128-bit), size = 32 MB, loops = 3040, 19436.5 MB/s
Sequential read (128-bit), size = 48 MB, loops = 1870, 17923.7 MB/s
Sequential read (128-bit), size = 64 MB, loops = 1440, 18333.4 MB/s
Sequential read (128-bit), size = 72 MB, loops = 1281, 18355.9 MB/s
Sequential read (128-bit), size = 96 MB, loops = 965, 18451.7 MB/s
Sequential read (128-bit), size = 128 MB, loops = 728, 18550.8 MB/s

Sequential read (256-bit), size = 256 B, loops = 830472192, 250198.9 MB/s
Sequential read (256-bit), size = 512 B, loops = 2598371328, 253724.1 MB/s
Sequential read (256-bit), size = 768 B, loops = 1709876300, 250453.2 MB/s
Sequential read (256-bit), size = 1024 B, loops = 1296564224, 253220.2 MB/s
Sequential read (256-bit), size = 1280 B, loops = 1033894950, 252411.9 MB/s
Sequential read (256-bit), size = 2 kB, loops = 646709248, 252571.6 MB/s
Sequential read (256-bit), size = 3 kB, loops = 431487378, 252724.2 MB/s
Sequential read (256-bit), size = 4 kB, loops = 324272128, 253294.8 MB/s
Sequential read (256-bit), size = 6 kB, loops = 202723920, 237467.7 MB/s
Sequential read (256-bit), size = 8 kB, loops = 147980288, 231150.9 MB/s
Sequential read (256-bit), size = 12 kB, loops = 101360800, 237493.6 MB/s
Sequential read (256-bit), size = 16 kB, loops = 77103104, 240926.8 MB/s
Sequential read (256-bit), size = 20 kB, loops = 62363106, 243542.3 MB/s
Sequential read (256-bit), size = 24 kB, loops = 51860030, 243047.1 MB/s
Sequential read (256-bit), size = 28 kB, loops = 44937600, 245703.9 MB/s
Sequential read (256-bit), size = 32 kB, loops = 35717120, 223151.8 MB/s
Sequential read (256-bit), size = 34 kB, loops = 21541740, 142975.9 MB/s
Sequential read (256-bit), size = 36 kB, loops = 16310560, 114597.8 MB/s
Sequential read (256-bit), size = 40 kB, loops = 14378379, 112296.0 MB/s
Sequential read (256-bit), size = 48 kB, loops = 11621008, 108938.5 MB/s
Sequential read (256-bit), size = 64 kB, loops = 8724480, 109029.4 MB/s
Sequential read (256-bit), size = 72 kB, loops = 7688736, 108096.0 MB/s
Sequential read (256-bit), size = 80 kB, loops = 7280383, 113707.8 MB/s
Sequential read (256-bit), size = 96 kB, loops = 6094476, 114237.0 MB/s
Sequential read (256-bit), size = 128 kB, loops = 4583424, 114558.3 MB/s
Sequential read (256-bit), size = 192 kB, loops = 3054870, 114487.7 MB/s
Sequential read (256-bit), size = 256 kB, loops = 1970176, 98497.0 MB/s
Sequential read (256-bit), size = 320 kB, loops = 1303848, 81406.5 MB/s
Sequential read (256-bit), size = 384 kB, loops = 951405, 71261.1 MB/s
Sequential read (256-bit), size = 480 kB, loops = 705432, 66066.1 MB/s
Sequential read (256-bit), size = 512 kB, loops = 656384, 65556.0 MB/s
Sequential read (256-bit), size = 768 kB, loops = 431706, 64695.2 MB/s
Sequential read (256-bit), size = 1 MB, loops = 325120, 64931.7 MB/s
Sequential read (256-bit), size = 1.25 MB, loops = 262169, 65476.1 MB/s
Sequential read (256-bit), size = 1.5 MB, loops = 215171, 64550.4 MB/s
Sequential read (256-bit), size = 1.75 MB, loops = 184252, 64402.5 MB/s
Sequential read (256-bit), size = 2 MB, loops = 162304, 64902.6 MB/s
Sequential read (256-bit), size = 2.25 MB, loops = 143918, 64730.2 MB/s
Sequential read (256-bit), size = 2.5 MB, loops = 129132, 64533.9 MB/s
Sequential read (256-bit), size = 2.75 MB, loops = 118482, 65094.1 MB/s
Sequential read (256-bit), size = 3 MB, loops = 108460, 65006.4 MB/s
Sequential read (256-bit), size = 3.25 MB, loops = 98910, 64237.2 MB/s
Sequential read (256-bit), size = 3.5 MB, loops = 93586, 65424.1 MB/s
Sequential read (256-bit), size = 4 MB, loops = 81152, 64830.3 MB/s
Sequential read (256-bit), size = 5 MB, loops = 64260, 64180.1 MB/s
Sequential read (256-bit), size = 6 MB, loops = 50490, 60566.2 MB/s
Sequential read (256-bit), size = 7 MB, loops = 38617, 53967.0 MB/s
Sequential read (256-bit), size = 8 MB, loops = 31424, 50277.1 MB/s
Sequential read (256-bit), size = 9 MB, loops = 25648, 46127.6 MB/s
Sequential read (256-bit), size = 10 MB, loops = 20400, 40706.9 MB/s
Sequential read (256-bit), size = 11 MB, loops = 16882, 37093.1 MB/s
Sequential read (256-bit), size = 12 MB, loops = 14028, 33666.2 MB/s
Sequential read (256-bit), size = 13 MB, loops = 12441, 32311.3 MB/s
Sequential read (256-bit), size = 14 MB, loops = 11196, 31302.4 MB/s
Sequential read (256-bit), size = 15 MB, loops = 10098, 30254.9 MB/s
Sequential read (256-bit), size = 16 MB, loops = 9088, 29073.4 MB/s
Sequential read (256-bit), size = 20 MB, loops = 6350, 25352.9 MB/s
Sequential read (256-bit), size = 21 MB, loops = 5928, 24879.9 MB/s
Sequential read (256-bit), size = 32 MB, loops = 3744, 23914.8 MB/s
Sequential read (256-bit), size = 48 MB, loops = 2400, 23014.9 MB/s
Sequential read (256-bit), size = 64 MB, loops = 1744, 22223.6 MB/s
Sequential read (256-bit), size = 72 MB, loops = 1519, 21797.9 MB/s
Sequential read (256-bit), size = 96 MB, loops = 1160, 22254.8 MB/s
Sequential read (256-bit), size = 128 MB, loops = 864, 22039.7 MB/s

Sequential read nontemporal (128-bit), size = 256 B, loops = 2145386496, 104708.0 MB/s
Sequential read nontemporal (128-bit), size = 512 B, loops = 1072693248, 104711.9 MB/s
Sequential read nontemporal (128-bit), size = 768 B, loops = 714429100, 104644.3 MB/s
Sequential read nontemporal (128-bit), size = 1024 B, loops = 537395200, 104903.6 MB/s
Sequential read nontemporal (128-bit), size = 1280 B, loops = 428657460, 104568.2 MB/s
Sequential read nontemporal (128-bit), size = 2 kB, loops = 269221888, 105065.2 MB/s
Sequential read nontemporal (128-bit), size = 3 kB, loops = 179655336, 105246.9 MB/s
Sequential read nontemporal (128-bit), size = 4 kB, loops = 134742016, 105250.7 MB/s
Sequential read nontemporal (128-bit), size = 6 kB, loops = 84322665, 98727.0 MB/s
Sequential read nontemporal (128-bit), size = 8 kB, loops = 64356352, 100481.3 MB/s
Sequential read nontemporal (128-bit), size = 12 kB, loops = 43558930, 102044.3 MB/s
Sequential read nontemporal (128-bit), size = 16 kB, loops = 32997376, 103039.7 MB/s
Sequential read nontemporal (128-bit), size = 20 kB, loops = 26659638, 104063.4 MB/s
Sequential read nontemporal (128-bit), size = 24 kB, loops = 22150830, 103731.6 MB/s
Sequential read nontemporal (128-bit), size = 28 kB, loops = 19061032, 104231.0 MB/s
Sequential read nontemporal (128-bit), size = 32 kB, loops = 15794176, 98622.8 MB/s
Sequential read nontemporal (128-bit), size = 34 kB, loops = 11611260, 77040.6 MB/s
Sequential read nontemporal (128-bit), size = 36 kB, loops = 9553328, 67135.9 MB/s
Sequential read nontemporal (128-bit), size = 40 kB, loops = 8493336, 66322.6 MB/s
Sequential read nontemporal (128-bit), size = 48 kB, loops = 7099300, 66533.5 MB/s
Sequential read nontemporal (128-bit), size = 64 kB, loops = 5349376, 66850.6 MB/s
Sequential read nontemporal (128-bit), size = 72 kB, loops = 4725369, 66359.3 MB/s
Sequential read nontemporal (128-bit), size = 80 kB, loops = 4246344, 66314.4 MB/s
Sequential read nontemporal (128-bit), size = 96 kB, loops = 3560572, 66705.7 MB/s
Sequential read nontemporal (128-bit), size = 128 kB, loops = 2678784, 66949.8 MB/s
Sequential read nontemporal (128-bit), size = 192 kB, loops = 1785420, 66893.1 MB/s
Sequential read nontemporal (128-bit), size = 256 kB, loops = 1257472, 62776.8 MB/s
Sequential read nontemporal (128-bit), size = 320 kB, loops = 894348, 55833.1 MB/s
Sequential read nontemporal (128-bit), size = 384 kB, loops = 700245, 52455.5 MB/s
Sequential read nontemporal (128-bit), size = 480 kB, loops = 537264, 50309.8 MB/s
Sequential read nontemporal (128-bit), size = 512 kB, loops = 499712, 49936.0 MB/s
Sequential read nontemporal (128-bit), size = 768 kB, loops = 330770, 49532.0 MB/s
Sequential read nontemporal (128-bit), size = 1 MB, loops = 247808, 49550.7 MB/s
Sequential read nontemporal (128-bit), size = 1.25 MB, loops = 195502, 48869.7 MB/s
Sequential read nontemporal (128-bit), size = 1.5 MB, loops = 165044, 49488.7 MB/s
Sequential read nontemporal (128-bit), size = 1.75 MB, loops = 140452, 49087.3 MB/s
Sequential read nontemporal (128-bit), size = 2 MB, loops = 122112, 48831.1 MB/s
Sequential read nontemporal (128-bit), size = 2.25 MB, loops = 107825, 48504.6 MB/s
Sequential read nontemporal (128-bit), size = 2.5 MB, loops = 97716, 48764.8 MB/s
Sequential read nontemporal (128-bit), size = 2.75 MB, loops = 86862, 47662.4 MB/s
Sequential read nontemporal (128-bit), size = 3 MB, loops = 79900, 47939.4 MB/s
Sequential read nontemporal (128-bit), size = 3.25 MB, loops = 71592, 46471.0 MB/s
Sequential read nontemporal (128-bit), size = 3.5 MB, loops = 67306, 47032.6 MB/s
Sequential read nontemporal (128-bit), size = 4 MB, loops = 55808, 44630.9 MB/s
Sequential read nontemporal (128-bit), size = 5 MB, loops = 43044, 43006.0 MB/s
Sequential read nontemporal (128-bit), size = 6 MB, loops = 32470, 38886.0 MB/s
Sequential read nontemporal (128-bit), size = 7 MB, loops = 23944, 33423.5 MB/s
Sequential read nontemporal (128-bit), size = 8 MB, loops = 19264, 30746.7 MB/s
Sequential read nontemporal (128-bit), size = 9 MB, loops = 15904, 28554.5 MB/s
Sequential read nontemporal (128-bit), size = 10 MB, loops = 13260, 26430.4 MB/s
Sequential read nontemporal (128-bit), size = 11 MB, loops = 11500, 25246.0 MB/s
Sequential read nontemporal (128-bit), size = 12 MB, loops = 10038, 24086.4 MB/s
Sequential read nontemporal (128-bit), size = 13 MB, loops = 9126, 23636.0 MB/s
Sequential read nontemporal (128-bit), size = 14 MB, loops = 8208, 22979.8 MB/s
Sequential read nontemporal (128-bit), size = 15 MB, loops = 7616, 22749.0 MB/s
Sequential read nontemporal (128-bit), size = 16 MB, loops = 7008, 22395.8 MB/s
Sequential read nontemporal (128-bit), size = 20 MB, loops = 5400, 21569.6 MB/s
Sequential read nontemporal (128-bit), size = 21 MB, loops = 5064, 21238.5 MB/s
Sequential read nontemporal (128-bit), size = 32 MB, loops = 3184, 20316.3 MB/s
Sequential read nontemporal (128-bit), size = 48 MB, loops = 2150, 20625.6 MB/s
Sequential read nontemporal (128-bit), size = 64 MB, loops = 1608, 20481.1 MB/s
Sequential read nontemporal (128-bit), size = 72 MB, loops = 1442, 20692.4 MB/s
Sequential read nontemporal (128-bit), size = 96 MB, loops = 1065, 20407.4 MB/s
Sequential read nontemporal (128-bit), size = 128 MB, loops = 800, 20426.3 MB/s

Sequential read nontemporal (256-bit), size = 256 B, loops = 0, 209686.3 MB/s
Sequential read nontemporal (256-bit), size = 512 B, loops = 2155872256, 210511.1 MB/s
Sequential read nontemporal (256-bit), size = 768 B, loops = 1537210950, 225119.5 MB/s
Sequential read nontemporal (256-bit), size = 1024 B, loops = 1162346496, 226964.6 MB/s
Sequential read nontemporal (256-bit), size = 1280 B, loops = 934490040, 228139.6 MB/s
Sequential read nontemporal (256-bit), size = 2 kB, loops = 589561856, 230229.2 MB/s
Sequential read nontemporal (256-bit), size = 3 kB, loops = 396185454, 232092.8 MB/s
Sequential read nontemporal (256-bit), size = 4 kB, loops = 296353792, 231486.8 MB/s
Sequential read nontemporal (256-bit), size = 6 kB, loops = 168121044, 196918.9 MB/s
Sequential read nontemporal (256-bit), size = 8 kB, loops = 129499136, 202271.6 MB/s
Sequential read nontemporal (256-bit), size = 12 kB, loops = 90438300, 211902.6 MB/s
Sequential read nontemporal (256-bit), size = 16 kB, loops = 69566464, 217373.0 MB/s
Sequential read nontemporal (256-bit), size = 20 kB, loops = 56569812, 220968.2 MB/s
Sequential read nontemporal (256-bit), size = 24 kB, loops = 47491030, 222586.5 MB/s
Sequential read nontemporal (256-bit), size = 28 kB, loops = 41136628, 224954.1 MB/s
Sequential read nontemporal (256-bit), size = 32 kB, loops = 36044800, 225215.3 MB/s
Sequential read nontemporal (256-bit), size = 34 kB, loops = 23777640, 157848.8 MB/s
Sequential read nontemporal (256-bit), size = 36 kB, loops = 16747450, 117687.5 MB/s
Sequential read nontemporal (256-bit), size = 40 kB, loops = 14627412, 114225.6 MB/s
Sequential read nontemporal (256-bit), size = 48 kB, loops = 12221718, 114556.3 MB/s
Sequential read nontemporal (256-bit), size = 64 kB, loops = 9125888, 114032.2 MB/s
Sequential read nontemporal (256-bit), size = 72 kB, loops = 8118315, 114083.9 MB/s
Sequential read nontemporal (256-bit), size = 80 kB, loops = 6651295, 103825.3 MB/s
Sequential read nontemporal (256-bit), size = 96 kB, loops = 5815965, 109035.5 MB/s
Sequential read nontemporal (256-bit), size = 128 kB, loops = 4407296, 110082.5 MB/s
Sequential read nontemporal (256-bit), size = 192 kB, loops = 2746380, 102931.3 MB/s
Sequential read nontemporal (256-bit), size = 256 kB, loops = 1847296, 92325.2 MB/s
Sequential read nontemporal (256-bit), size = 320 kB, loops = 1318590, 82311.8 MB/s
Sequential read nontemporal (256-bit), size = 384 kB, loops = 944580, 70745.9 MB/s
Sequential read nontemporal (256-bit), size = 480 kB, loops = 694512, 65032.6 MB/s
Sequential read nontemporal (256-bit), size = 512 kB, loops = 652288, 65150.2 MB/s
Sequential read nontemporal (256-bit), size = 768 kB, loops = 436480, 65415.9 MB/s
Sequential read nontemporal (256-bit), size = 1 MB, loops = 325632, 65098.4 MB/s
Sequential read nontemporal (256-bit), size = 1.25 MB, loops = 254398, 63564.5 MB/s
Sequential read nontemporal (256-bit), size = 1.5 MB, loops = 209374, 62768.3 MB/s
Sequential read nontemporal (256-bit), size = 1.75 MB, loops = 178120, 62331.9 MB/s
Sequential read nontemporal (256-bit), size = 2 MB, loops = 154368, 61663.1 MB/s
Sequential read nontemporal (256-bit), size = 2.25 MB, loops = 143464, 64494.7 MB/s
Sequential read nontemporal (256-bit), size = 2.5 MB, loops = 126888, 63418.4 MB/s
Sequential read nontemporal (256-bit), size = 2.75 MB, loops = 117924, 64781.7 MB/s
Sequential read nontemporal (256-bit), size = 3 MB, loops = 107780, 64576.0 MB/s
Sequential read nontemporal (256-bit), size = 3.25 MB, loops = 99381, 64584.5 MB/s
Sequential read nontemporal (256-bit), size = 3.5 MB, loops = 91980, 64357.1 MB/s
Sequential read nontemporal (256-bit), size = 4 MB, loops = 80640, 64479.6 MB/s
Sequential read nontemporal (256-bit), size = 5 MB, loops = 62628, 62592.7 MB/s
Sequential read nontemporal (256-bit), size = 6 MB, loops = 51000, 61186.6 MB/s
Sequential read nontemporal (256-bit), size = 7 MB, loops = 39420, 55126.2 MB/s
Sequential read nontemporal (256-bit), size = 8 MB, loops = 31040, 49574.9 MB/s
Sequential read nontemporal (256-bit), size = 9 MB, loops = 25816, 46392.6 MB/s
Sequential read nontemporal (256-bit), size = 10 MB, loops = 20502, 40964.1 MB/s
Sequential read nontemporal (256-bit), size = 11 MB, loops = 16836, 36953.5 MB/s
Sequential read nontemporal (256-bit), size = 12 MB, loops = 14406, 34504.3 MB/s
Sequential read nontemporal (256-bit), size = 13 MB, loops = 12636, 32787.2 MB/s
Sequential read nontemporal (256-bit), size = 14 MB, loops = 11232, 31369.0 MB/s
Sequential read nontemporal (256-bit), size = 15 MB, loops = 9996, 29947.9 MB/s
Sequential read nontemporal (256-bit), size = 16 MB, loops = 8960, 28625.1 MB/s
Sequential read nontemporal (256-bit), size = 20 MB, loops = 6325, 25211.3 MB/s
Sequential read nontemporal (256-bit), size = 21 MB, loops = 5928, 24849.7 MB/s
Sequential read nontemporal (256-bit), size = 32 MB, loops = 3792, 24172.0 MB/s
Sequential read nontemporal (256-bit), size = 48 MB, loops = 2400, 23000.6 MB/s
Sequential read nontemporal (256-bit), size = 64 MB, loops = 1760, 22460.1 MB/s
